Timestamp,Source,Level,Line
16:53:34.7430,Connected Device,Normal,"Connected."
16:53:34.7430,Connected Device,Verbose,"Discovering Services..."
16:53:34.7430,Connected Device,Verbose,"Connecting..."
16:53:34.7430,Connected Device,Verbose,"Connecting..."
16:53:34.7430,Connected Device,Verbose,"Connecting..."
16:53:34.7440,Connected Device,Normal,"Discovered 0000FFF0-0000-1000-8000-00805F9B34FB Services."
16:53:34.7440,Connected Device,Verbose,"Discovering Characteristics for 0000FFF0-0000-1000-8000-00805F9B34FB..."
16:53:34.7440,Connected Device,Normal,"Connected."
16:53:34.7440,Connected Device,Verbose,"Discovering Services..."
16:53:34.7440,Connected Device,Normal,"Connected."
16:53:34.7440,Connected Device,Verbose,"Discovering Services..."
16:53:34.7440,Connected Device,Normal,"Connected."
16:53:34.7440,Connected Device,Verbose,"Discovering Services..."
16:53:34.7440,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB..."
16:53:34.7450,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF2-0000-1000-8000-00805F9B34FB..."
16:53:34.7450,Connected Device,Normal,"Discovered 0000FFF1-0000-1000-8000-00805F9B34FB and 0000FFF2-0000-1000-8000-00805F9B34FB Characteristics for Service 0000FFF0-0000-1000-8000-00805F9B34FB."
16:53:34.7450,Connected Device,Normal,"Discovered 0000FFF0-0000-1000-8000-00805F9B34FB Services."
16:53:34.7450,Connected Device,Verbose,"Discovering Characteristics for 0000FFF0-0000-1000-8000-00805F9B34FB..."
16:53:34.7460,Connected Device,Normal,"Discovered 0000FFF0-0000-1000-8000-00805F9B34FB Services."
16:53:34.7460,Connected Device,Verbose,"Discovering Characteristics for 0000FFF0-0000-1000-8000-00805F9B34FB..."
16:53:34.7460,Connected Device,Normal,"Discovered 0000FFF0-0000-1000-8000-00805F9B34FB Services."
16:53:34.7460,Connected Device,Verbose,"Discovering Characteristics for 0000FFF0-0000-1000-8000-00805F9B34FB..."
16:53:34.7460,Connected Device,Normal,"Discovered Client Characteristic Configuration Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB"
16:53:34.7460,Connected Device,Normal,"0000FFF2-0000-1000-8000-00805F9B34FB has no Descriptors."
16:53:34.7460,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB..."
16:53:34.7470,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF2-0000-1000-8000-00805F9B34FB..."
16:53:34.7470,Connected Device,Normal,"Discovered 0000FFF1-0000-1000-8000-00805F9B34FB and 0000FFF2-0000-1000-8000-00805F9B34FB Characteristics for Service 0000FFF0-0000-1000-8000-00805F9B34FB."
16:53:34.7470,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB..."
16:53:34.7480,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF2-0000-1000-8000-00805F9B34FB..."
16:53:34.7480,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB..."
16:53:34.7480,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF2-0000-1000-8000-00805F9B34FB..."
16:53:34.7500,Connected Device,Normal,"Discovered 0000FFF1-0000-1000-8000-00805F9B34FB and 0000FFF2-0000-1000-8000-00805F9B34FB Characteristics for Service 0000FFF0-0000-1000-8000-00805F9B34FB."
16:53:34.7510,Connected Device,Normal,"Discovered 0000FFF1-0000-1000-8000-00805F9B34FB and 0000FFF2-0000-1000-8000-00805F9B34FB Characteristics for Service 0000FFF0-0000-1000-8000-00805F9B34FB."
16:53:34.7510,Connected Device,Normal,"Discovered Client Characteristic Configuration Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB"
16:53:34.7510,Connected Device,Normal,"0000FFF2-0000-1000-8000-00805F9B34FB has no Descriptors."
16:53:34.7510,Connected Device,Normal,"Discovered Client Characteristic Configuration Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB"
16:53:34.7510,Connected Device,Normal,"0000FFF2-0000-1000-8000-00805F9B34FB has no Descriptors."
16:53:34.7520,Connected Device,Normal,"Discovered Client Characteristic Configuration Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB"
16:53:34.7520,Connected Device,Normal,"0000FFF2-0000-1000-8000-00805F9B34FB has no Descriptors."
16:55:14.7990,Scanner,Normal,"Scanner Off."
